Position, TimeStamp, PropId, EOSUsername, UPXCost
90086639,2021-09-18T00:00:15.000,78053214267194,iwxrgs2xhzpf,10.00 UPX
90087456,2021-09-18T00:00:59.000,78053214267194,iwxrgs2xhzpf,10.00 UPX
90088564,2021-09-18T00:03:34.000,78053214267194,pmixp24cyddq,10.00 UPX
90094309,2021-09-18T00:23:06.000,78053214267194,dz3f2vi2phvg,10.00 UPX
90094389,2021-09-18T00:23:21.000,78053214267194,dz3f2vi2phvg,10.00 UPX
90094413,2021-09-18T00:23:30.000,78053214267194,dz3f2vi2phvg,10.00 UPX
90102583,2021-09-18T00:56:42.000,78053214267194,nkux3ndto5ic,10.00 UPX
90105739,2021-09-18T01:09:14.000,81356145919400,mt55oanqosg4,20.00 UPX
90105788,2021-09-18T01:09:29.000,81356145919400,mt55oanqosg4,20.00 UPX
90105823,2021-09-18T01:09:33.500,81356145919400,mt55oanqosg4,20.00 UPX
90105862,2021-09-18T01:09:40.000,81356145919400,mt55oanqosg4,20.00 UPX
90105883,2021-09-18T01:09:47.000,81356145919400,mt55oanqosg4,20.00 UPX
90105929,2021-09-18T01:09:54.000,81356145919400,mt55oanqosg4,20.00 UPX
90105967,2021-09-18T01:10:00.500,81356145919400,mt55oanqosg4,20.00 UPX
90105986,2021-09-18T01:10:07.000,81356145919400,mt55oanqosg4,20.00 UPX
90106012,2021-09-18T01:10:14.000,81356145919400,mt55oanqosg4,20.00 UPX
90125711,2021-09-18T02:30:32.500,79520616529774,qibeghnb332z,20.00 UPX
90126058,2021-09-18T02:31:01.000,78053214267194,b5ricy1drxpq,10.00 UPX
90126132,2021-09-18T02:31:16.000,78053214267194,b5ricy1drxpq,10.00 UPX
90126157,2021-09-18T02:31:24.000,78053214267194,b5ricy1drxpq,10.00 UPX
90131137,2021-09-18T02:51:00.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131186,2021-09-18T02:51:12.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131208,2021-09-18T02:51:18.500,79520616529774,u4j3i2cux22r,20.00 UPX
90131239,2021-09-18T02:51:24.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131256,2021-09-18T02:51:30.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131269,2021-09-18T02:51:36.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131302,2021-09-18T02:51:41.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131363,2021-09-18T02:51:48.000,79520616529774,u4j3i2cux22r,20.00 UPX
90131394,2021-09-18T02:51:54.500,79520616529774,u4j3i2cux22r,20.00 UPX
90132367,2021-09-18T02:55:09.000,79520616529774,u4j3i2cux22r,20.00 UPX
90132412,2021-09-18T02:55:21.500,79520616529774,u4j3i2cux22r,20.00 UPX
90132437,2021-09-18T02:55:28.000,79520616529774,u4j3i2cux22r,20.00 UPX
90132465,2021-09-18T02:55:33.000,79520616529774,u4j3i2cux22r,20.00 UPX
90132490,2021-09-18T02:55:38.000,79520616529774,u4j3i2cux22r,20.00 UPX
90132515,2021-09-18T02:55:43.500,79520616529774,u4j3i2cux22r,20.00 UPX
90132544,2021-09-18T02:55:49.500,79520616529774,u4j3i2cux22r,20.00 UPX
90133220,2021-09-18T02:59:21.500,79520616529774,u4j3i2cux22r,20.00 UPX
90133270,2021-09-18T02:59:36.000,79520616529774,u4j3i2cux22r,20.00 UPX
90133305,2021-09-18T02:59:42.500,79520616529774,u4j3i2cux22r,20.00 UPX
90133314,2021-09-18T02:59:47.000,79520616529774,u4j3i2cux22r,20.00 UPX
90133343,2021-09-18T02:59:54.000,79520616529774,u4j3i2cux22r,20.00 UPX
90133364,2021-09-18T03:00:00.000,79520616529774,u4j3i2cux22r,20.00 UPX
90133386,2021-09-18T03:00:06.000,79520616529774,u4j3i2cux22r,20.00 UPX
90139511,2021-09-18T03:21:28.000,79520616529774,u4j3i2cux22r,20.00 UPX
90139602,2021-09-18T03:21:50.000,79520616529774,u4j3i2cux22r,20.00 UPX
90139614,2021-09-18T03:21:56.000,79520616529774,u4j3i2cux22r,20.00 UPX
90139640,2021-09-18T03:22:02.500,79520616529774,u4j3i2cux22r,20.00 UPX
90139654,2021-09-18T03:22:08.000,79520616529774,u4j3i2cux22r,20.00 UPX
90139706,2021-09-18T03:22:17.000,79520616529774,u4j3i2cux22r,20.00 UPX
90139733,2021-09-18T03:22:24.000,79520616529774,u4j3i2cux22r,20.00 UPX
90140484,2021-09-18T03:25:40.500,81856693908761,vzhuvpo3xyge,5.00 UPX
90140543,2021-09-18T03:25:56.500,81856693908761,vzhuvpo3xyge,5.00 UPX
90140579,2021-09-18T03:26:01.500,81856693908761,vzhuvpo3xyge,5.00 UPX
90140609,2021-09-18T03:26:07.500,79520616529774,u4j3i2cux22r,20.00 UPX
90140717,2021-09-18T03:26:22.500,79520616529774,u4j3i2cux22r,20.00 UPX
90140781,2021-09-18T03:26:28.500,79520616529774,u4j3i2cux22r,20.00 UPX
90140829,2021-09-18T03:26:34.500,79520616529774,u4j3i2cux22r,20.00 UPX
90140857,2021-09-18T03:26:42.000,79520616529774,u4j3i2cux22r,20.00 UPX
90140897,2021-09-18T03:26:49.000,79520616529774,u4j3i2cux22r,20.00 UPX
90142080,2021-09-18T03:32:13.500,79520616529774,u4j3i2cux22r,20.00 UPX
